"","year","num"
"1",2024,81
"2",2023,94
"3",2022,81
"4",2021,50
"5",2020,17
"6",2019,6
"7",2018,15
"8",2017,8
"9",2016,7
"10",2015,8
"11",2014,5
"12",2013,6
"13",2012,5
"14",2011,0
"15",2010,1
"16",2009,0
"17",2008,0
"18",2007,0
"19",2006,0
"20",2005,1
"21",2004,0
"22",2003,0
"23",2002,0
"24",2001,0
"25",2000,1
"26",1999,1
