"","year","num"
"1",2029,1
"2",2024,52
"3",2023,94
"4",2022,81
"5",2021,50
"6",2020,17
"7",2019,6
"8",2018,15
"9",2017,8
"10",2016,7
"11",2015,8
"12",2014,5
"13",2013,6
"14",2012,5
"15",2010,1
"16",2005,1
"17",2000,1
"18",1999,1
